,t_tdoa,idA,idB,tdoa_meas,t_acc,acc_x,acc_y,acc_z,t_gyro,gyro_x,gyro_y,gyro_z,t_tof,tof,t_flow,deltaX,deltaY,t_baro,baro,t_pose,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
t_baro,0.9999955450530736,0.006227013776412368,0.0032694379912787254,-0.007117412595976719,0.9999999997039917,-0.5666579214161453,0.038197282409687144,-0.11807504510274319,0.9999999997323954,-0.019128604280512704,-0.046489213643886494,-0.35283195288626196,0.9999999902902488,0.048913600659887674,0.9993287629277268,-0.06016636915871449,-0.2295234645451562,1.0,0.2709937084132351,0.9999663069577048,-0.8299895237791952,-0.8842915164766988,0.7521850633726191,-0.062492413519602164,0.017561276937542728,-0.48373310518768087,0.6117187634158636
baro,0.27210283432489196,0.005633893409021325,0.004574382926731504,-0.005137353769114169,0.27099274983634536,-0.06440088986453038,0.002677119802152045,-0.0775739866304426,0.27099321937777726,-0.14917305805269712,-0.13668561695064016,0.02428750650576352,0.2710301916865528,0.4446232786002905,0.2494604127176638,-0.046354890570129696,0.11133713033434398,0.2709937084132351,1.0,0.26867528931247064,-0.010673343472903841,-0.007811846562386997,0.47116198229232137,0.12149156444837708,0.37284306474746004,-0.633041233630247,0.3254182059617987
t_pose,0.9999416716568427,0.006216721395339116,0.0032772228325124828,-0.007098180028606972,0.9999663343454867,-0.5690072453560241,0.03854657830951784,-0.11570586038725342,0.999966323668719,-0.01824991345455641,-0.04462149964225583,-0.3507349747875393,0.9999663764240823,0.0459324620054878,0.9994982719648259,-0.05944589975227933,-0.229474967007257,0.9999663069577048,0.26867528931247064,1.0,-0.8340926001331528,-0.8870280537177183,0.7480722331103009,-0.06530986264340911,0.015036689105032768,-0.48031012425004416,0.6101671045911911
pose_x,-0.8284830793497753,-0.003677582638179074,-0.002751496742841757,0.0048147793278742355,-0.8299915357831946,0.6139468392797467,-0.06104402040057511,0.02838904222510534,-0.8299906584796519,-0.09777918077470553,-0.09771885961230714,0.1531637839118239,-0.8299864448784932,0.20210808711224837,-0.845684011412262,-0.004503214145927587,0.17423362216853408,-0.8299895237791952,-0.010673343472903841,-0.8340926001331528,1.0,0.9349053863557546,-0.31782104547734297,0.2592184959882758,0.1516845370297581,0.1279242227160265,-0.39384388691061306
pose_y,-0.8834432593184895,-0.004087438715804096,-0.0018718177470569346,0.004270503448351751,-0.8842937006246799,0.670126650837984,-0.04048623032210198,0.16721714915695252,-0.8842929140347773,0.07573311530643585,0.10289222571832492,0.38930604673306096,-0.8842674873980573,0.08904209280395317,-0.899494733795596,-0.044656588095240805,0.30489399249137505,-0.8842915164766988,-0.007811846562386997,-0.8870280537177183,0.9349053863557546,1.0,-0.38804265476159666,0.27711082171552026,0.19578653799319368,0.1596261159603472,-0.450600476773851
pose_z,0.7535737678975689,0.006483962628921972,0.0028403906842629965,-0.006996726993527948,0.7521821002282103,-0.22426658313929754,0.01088661654639783,-0.06764671482920659,0.7521831884096346,-0.024698413161465396,-0.05023501522483412,-0.252763321771438,0.7521915801740248,0.20656490043010356,0.7320178189092581,-0.2088411538884082,-0.06138595337414433,0.7521850633726191,0.47116198229232137,0.7480722331103009,-0.31782104547734297,-0.38804265476159666,1.0,0.20786864005215214,0.21168149419492444,-0.6370522271314244,0.5815284645309545
pose_qx,-0.06168387946490603,-0.006429954753164165,-0.0006168240384517889,-0.007138554869538315,-0.062494035904265964,0.2054114672492403,-0.007764967396180671,0.10494604704265155,-0.06249324894360667,0.00027631308903649474,0.04272034332104512,0.0416367785282713,-0.062461909984194715,0.11071789241132418,-0.0805507669696301,-0.1352527829842186,0.033553747708236256,-0.062492413519602164,0.12149156444837708,-0.06530986264340911,0.2592184959882758,0.27711082171552026,0.20786864005215214,1.0,0.4559658913304775,-0.1399864640557764,-0.2430758356370054
pose_qy,0.018499651367487487,0.000734260269904966,0.001530357537870444,-0.006294908586556029,0.01755967605378116,0.10862147149819636,0.054877647532863214,0.015480221775637766,0.0175603022696984,0.04237249303423634,0.029009317347369057,0.09061271987783999,0.017617076241954986,0.2806088869120676,0.003005954999438741,0.013546490051358285,0.09080830129649417,0.017561276937542728,0.37284306474746004,0.015036689105032768,0.1516845370297581,0.19578653799319368,0.21168149419492444,0.4559658913304775,1.0,-0.420912165258766,0.2166132124526925
pose_qz,-0.48505832315664005,-0.006346820520699088,-0.003196983590939132,0.005547810482353439,-0.483730355839778,0.10316859465237803,0.021014230579504658,0.09291247922645958,-0.4837311486817742,0.083181906512401,0.09362561843233189,0.08817501037546575,-0.4838004355437942,-0.44144427968028715,-0.4620022927876593,0.01003845139827409,-0.008513466719114007,-0.48373310518768087,-0.633041233630247,-0.48031012425004416,0.1279242227160265,0.1596261159603472,-0.6370522271314244,-0.1399864640557764,-0.420912165258766,1.0,-0.4971123097871493
pose_qw,0.6125834998302674,0.005718896958074083,0.00010565579356564873,-0.006349630504719341,0.6117173883924466,-0.28367003491345777,0.014706825123665137,-0.0744066893732228,0.6117177977076966,-0.025351627421353513,-0.042772042050814946,-0.25854556242533094,0.611721725028078,0.05946432790012572,0.6086433472883648,0.06247407488138565,-0.07646062153563327,0.6117187634158636,0.3254182059617987,0.6101671045911911,-0.39384388691061306,-0.450600476773851,0.5815284645309545,-0.2430758356370054,0.2166132124526925,-0.4971123097871493,1.0
